group_code,index,n_dates,min_doy,max_doy
BR_OTHER_MIX,NBR,51,2,366
BR_OTHER_MIX,NDMI,51,2,366
BR_OTHER_MIX,NDRE,51,2,366
BR_OTHER_MIX,NDVI,51,2,366
FA_DOM_MIXED,NBR,52,2,366
FA_DOM_MIXED,NDMI,52,2,366
FA_DOM_MIXED,NDRE,52,2,366
FA_DOM_MIXED,NDVI,52,2,366
FA_DOM_MO,NBR,52,2,366
FA_DOM_MO,NDMI,52,2,366
FA_DOM_MO,NDRE,52,2,366
FA_DOM_MO,NDVI,52,2,366
FA_PURE,NBR,52,2,366
FA_PURE,NDMI,52,2,366
FA_PURE,NDRE,52,2,366
FA_PURE,NDVI,52,2,366
MO_DOM_FA,NBR,52,2,366
MO_DOM_FA,NDMI,52,2,366
MO_DOM_FA,NDRE,52,2,366
MO_DOM_FA,NDVI,52,2,366
MO_DOM_MIXED,NBR,52,2,366
MO_DOM_MIXED,NDMI,52,2,366
MO_DOM_MIXED,NDRE,52,2,366
MO_DOM_MIXED,NDVI,52,2,366
MO_FA_BALANCED,NBR,52,2,366
MO_FA_BALANCED,NDMI,52,2,366
MO_FA_BALANCED,NDRE,52,2,366
MO_FA_BALANCED,NDVI,52,2,366
MO_PURE,NBR,52,2,366
MO_PURE,NDMI,52,2,366
MO_PURE,NDRE,52,2,366
MO_PURE,NDVI,52,2,366
