group_code,index,n_dates,min_doy,max_doy
BR_OTHER_MIX,NBR,40,81,317
BR_OTHER_MIX,NDMI,40,81,317
BR_OTHER_MIX,NDRE,40,81,317
BR_OTHER_MIX,NDVI,40,81,317
FA_DOM_MIXED,NBR,40,81,317
FA_DOM_MIXED,NDMI,40,81,317
FA_DOM_MIXED,NDRE,40,81,317
FA_DOM_MIXED,NDVI,40,81,317
FA_DOM_MO,NBR,40,81,317
FA_DOM_MO,NDMI,40,81,317
FA_DOM_MO,NDRE,40,81,317
FA_DOM_MO,NDVI,40,81,317
FA_PURE,NBR,40,81,317
FA_PURE,NDMI,40,81,317
FA_PURE,NDRE,40,81,317
FA_PURE,NDVI,40,81,317
MO_DOM_FA,NBR,40,81,317
MO_DOM_FA,NDMI,40,81,317
MO_DOM_FA,NDRE,40,81,317
MO_DOM_FA,NDVI,40,81,317
MO_DOM_MIXED,NBR,40,81,317
MO_DOM_MIXED,NDMI,40,81,317
MO_DOM_MIXED,NDRE,40,81,317
MO_DOM_MIXED,NDVI,40,81,317
MO_FA_BALANCED,NBR,40,81,317
MO_FA_BALANCED,NDMI,40,81,317
MO_FA_BALANCED,NDRE,40,81,317
MO_FA_BALANCED,NDVI,40,81,317
MO_PURE,NBR,40,81,317
MO_PURE,NDMI,40,81,317
MO_PURE,NDRE,40,81,317
MO_PURE,NDVI,40,81,317
