scene,date,doy,support_px,clear_support_px,clear_frac,veg_frac,snow_frac,cloud_frac,shadow_frac,scl7_frac,ndvi_med_clear,ndre_med_clear,ndmi_med_clear,nbr_med_clear,ndsi_med_clear
SdV_2016-11-23_no_clouds.zip,2016-11-23,328,191154,125556,0.6568316645217992,0.6046852276175231,0.0012241438839888257,0.0,0.341944191594212,0.04580076796718876,0.8033843636512756,0.5884692072868347,0.3660077154636383,0.6183986663818359,-0.5496306419372559
SdV_2017-01-02_snow.zip,2017-01-02,2,191154,36598,0.1914581960095002,0.021150485995584712,0.06397459639871517,0.3972399217384936,0.3473272858532911,0.15236406248365192,0.4314112067222595,0.316119521856308,0.6917660236358643,0.7866766452789307,0.35617852210998535
SdV_2017-07-31_no_clouds.zip,2017-07-31,212,191154,191135,0.9999006037017274,0.9998953723176078,0.0,0.0,9.939629827259696e-05,0.0,0.884843647480011,0.6720965504646301,0.3834293484687805,0.6798186898231506,-0.5739008188247681
SdV_2017-08-05_no_clouds.zip,2017-08-05,217,191154,191129,0.9998692153970098,0.9997436621781391,0.0,0.0,0.00013078460299025915,4.185107295688293e-05,0.8439246416091919,0.6594628691673279,0.3581695854663849,0.6554307341575623,-0.5339874625205994
SdV_2017-08-25_no_clouds.zip,2017-08-25,237,191154,191135,0.9999006037017274,0.9998064387875745,0.0,0.0,9.939629827259696e-05,9.41649141529866e-05,0.865309476852417,0.6706888675689697,0.37708696722984314,0.6693254709243774,-0.5590513348579407
SdV_2017-10-19_no_clouds.zip,2017-10-19,292,191154,177518,0.928664846144993,0.91742783305607,0.0,0.0,0.07133515385500695,0.006983897799679839,0.7167472243309021,0.538174033164978,0.18813738226890564,0.4813668131828308,-0.6393803954124451
SdV_2018-04-22_no_clouds.zip,2018-04-22,112,191154,187964,0.9833118846584429,0.8862278581667138,0.004122330686252969,0.00019879259654519393,0.012366992058758906,0.031367379181183756,0.6034456491470337,0.42016682028770447,0.13608504831790924,0.371519535779953,-0.5348142981529236
SdV_2018-06-21_medium_clouds.zip,2018-06-21,172,191154,73979,0.3870125657846553,0.3868137731881101,0.0,0.6129874342153447,0.0,0.0001255532188706488,0.8063932061195374,0.631061851978302,0.39769577980041504,0.652306854724884,-0.444754421710968
SdV_2018-07-06_high_clouds.zip,2018-07-06,187,191154,94063,0.4920796844429099,0.43316383648785795,0.002129173336681419,0.47036420896240727,0.0354269332580014,0.038597152034485285,0.7596390843391418,0.5770235061645508,0.35209977626800537,0.6273911595344543,-0.41488969326019287
SdV_2018-08-25_LowMedium_clouds.zip,2018-08-25,237,191154,183359,0.9592213607876372,0.9507883695868253,0.0,0.01085512204819151,0.029923517164171295,0.006743254130177762,0.7933046221733093,0.6150394082069397,0.35445117950439453,0.6550629734992981,-0.484750896692276
SdV_2018-10-14_no_clouds.zip,2018-10-14,287,191154,185209,0.9688994214089164,0.960163009929167,0.0,0.0,0.03110057859108363,0.005728365610973351,0.7387281656265259,0.5404630899429321,0.22663773596286774,0.5338545441627502,-0.6699004173278809
SdV_2018-11-13.zip,2018-11-13,317,191154,147021,0.7691233246492357,0.7267909643533486,0.0,0.00012032183475103844,0.23075635351601326,0.037027736798602176,0.7593955397605896,0.5686444640159607,0.28505009412765503,0.5477505326271057,-0.5698243379592896
SdV_2018-12-13_winter.zip,2018-12-13,347,191154,37384,0.19557006392751394,0.0,0.5230337842786444,0.1546240204233236,0.12677213137051802,0.18241836425081348,0.16735678911209106,0.10595931112766266,0.8391101360321045,0.8304795026779175,0.772851288318634
