group_code,index,n_dates,min_doy,max_doy
BR_OTHER_MIX,NBR,57,2,366
BR_OTHER_MIX,NDMI,57,2,366
BR_OTHER_MIX,NDRE,57,2,366
BR_OTHER_MIX,NDVI,57,2,366
FA_DOM_MIXED,NBR,58,2,366
FA_DOM_MIXED,NDMI,58,2,366
FA_DOM_MIXED,NDRE,58,2,366
FA_DOM_MIXED,NDVI,58,2,366
FA_DOM_MO,NBR,58,2,366
FA_DOM_MO,NDMI,58,2,366
FA_DOM_MO,NDRE,58,2,366
FA_DOM_MO,NDVI,58,2,366
FA_PURE,NBR,57,2,366
FA_PURE,NDMI,57,2,366
FA_PURE,NDRE,57,2,366
FA_PURE,NDVI,57,2,366
MO_DOM_FA,NBR,58,2,366
MO_DOM_FA,NDMI,58,2,366
MO_DOM_FA,NDRE,58,2,366
MO_DOM_FA,NDVI,58,2,366
MO_DOM_MIXED,NBR,57,2,366
MO_DOM_MIXED,NDMI,57,2,366
MO_DOM_MIXED,NDRE,57,2,366
MO_DOM_MIXED,NDVI,57,2,366
MO_FA_BALANCED,NBR,58,2,366
MO_FA_BALANCED,NDMI,58,2,366
MO_FA_BALANCED,NDRE,58,2,366
MO_FA_BALANCED,NDVI,58,2,366
MO_PURE,NBR,57,2,366
MO_PURE,NDMI,57,2,366
MO_PURE,NDRE,57,2,366
MO_PURE,NDVI,57,2,366
